epoch	loss	lr	val_loss	val_lr
49	0.08851000666618347	0.01	NA	NA
50	0.08732127398252487	0.01	NA	NA
51	0.0861191600561142	0.01	NA	NA
52	0.08490928262472153	0.01	NA	NA
53	0.08368856459856033	0.01	NA	NA
54	0.08247286826372147	0.01	NA	NA
55	0.08126188069581985	0.01	NA	NA
56	0.08007200062274933	0.01	NA	NA
57	0.07890024036169052	0.01	NA	NA
58	0.07775235176086426	0.01	NA	NA
59	0.07663097977638245	0.01	NA	NA
60	0.07555754482746124	0.01	NA	NA
61	0.0745263397693634	0.01	NA	NA
62	0.0735359862446785	0.01	NA	NA
63	0.07259266078472137	0.01	NA	NA
64	0.07169796526432037	0.01	NA	NA
65	0.0708417147397995	0.01	NA	NA
66	0.07003606110811234	0.01	NA	NA
67	0.06927638500928879	0.01	NA	NA
68	0.06855888664722443	0.01	NA	NA
69	0.06788671016693115	0.01	NA	NA
70	0.0672590583562851	0.01	NA	NA
71	0.06666412204504013	0.01	NA	NA
72	0.0661018118262291	0.01	NA	NA
73	0.06558360904455185	0.01	NA	NA
74	0.06509210914373398	0.01	NA	NA
75	0.06463789194822311	0.01	NA	NA
76	0.06421501189470291	0.01	NA	NA
77	0.06382053345441818	0.01	NA	NA
78	0.06345483660697937	0.01	NA	NA
79	0.06311511248350143	0.01	NA	NA
80	0.06280072778463364	0.01	NA	NA
81	0.06250681728124619	0.01	NA	NA
82	0.062233854085206985	0.01	NA	NA
83	0.061980728060007095	0.01	NA	NA
84	0.061747606843709946	0.01	NA	NA
85	0.061532966792583466	0.01	NA	NA
86	0.06133202835917473	0.01	NA	NA
87	0.06114422529935837	0.01	NA	NA
88	0.06097394600510597	0.01	NA	NA
89	0.06081455573439598	0.01	NA	NA
90	0.06066836044192314	0.01	NA	NA
91	0.06053280830383301	0.01	NA	NA
92	0.06040707975625992	0.01	NA	NA
93	0.060291074216365814	0.01	NA	NA
94	0.0601840540766716	0.01	NA	NA
95	0.06008405238389969	0.01	NA	NA
96	0.05999273434281349	0.01	NA	NA
97	0.05990881845355034	0.01	NA	NA
98	0.05982993170619011	0.01	NA	NA
99	0.059757333248853683	0.01	NA	NA
100	0.059689611196517944	0.01	NA	NA
101	0.05962621420621872	0.01	NA	NA
102	0.05956773832440376	0.01	NA	NA
103	0.05951341614127159	0.01	NA	NA
104	0.059463147073984146	0.01	NA	NA
105	0.05941661819815636	0.01	NA	NA
106	0.059373434633016586	0.01	NA	NA
107	0.059332992881536484	0.01	NA	NA
108	0.05929529666900635	0.01	NA	NA
109	0.05926044285297394	0.01	NA	NA
110	0.059227198362350464	0.01	NA	NA
111	0.05919696390628815	0.01	NA	NA
112	0.059168584644794464	0.01	NA	NA
113	0.05914204940199852	0.01	NA	NA
114	0.059116970747709274	0.01	NA	NA
115	0.05909397080540657	0.01	NA	NA
116	0.05907144770026207	0.01	NA	NA
117	0.059050776064395905	0.01	NA	NA
118	0.0590311661362648	0.01	NA	NA
119	0.05901283770799637	0.01	NA	NA
120	0.058995168656110764	0.01	NA	NA
121	0.05897854268550873	0.01	NA	NA
122	0.05896303057670593	0.01	NA	NA
123	0.05894787982106209	0.01	NA	NA
124	0.058934297412633896	0.01	NA	NA
125	0.05892099067568779	0.01	NA	NA
126	0.05890762805938721	0.01	NA	NA
127	0.058895472437143326	0.01	NA	NA
128	0.05888384208083153	0.01	NA	NA
129	0.0588725246489048	0.01	NA	NA
130	0.058861687779426575	0.01	NA	NA
131	0.058851175010204315	0.01	NA	NA
132	0.05884108692407608	0.01	NA	NA
133	0.05883121117949486	0.01	NA	NA
134	0.05882204696536064	0.01	NA	NA
135	0.05881299823522568	0.01	NA	NA
136	0.058804791420698166	0.01	NA	NA
137	0.058796387165784836	0.01	NA	NA
138	0.05878765881061554	0.01	NA	NA
139	0.058780014514923096	0.01	NA	NA
140	0.058771729469299316	0.01	NA	NA
141	0.058764487504959106	0.01	NA	NA
142	0.0587569996714592	0.01	NA	NA
143	0.058749619871377945	0.01	NA	NA
144	0.05874275043606758	0.01	NA	NA
145	0.05873587727546692	0.01	NA	NA
146	0.05872827395796776	0.0009999999	NA	NA
147	0.05872758477926254	0.0009999999	NA	NA
148	0.05872688442468643	0.0009999999	NA	NA
149	0.05872620269656181	0.0009999999	NA	NA
150	0.058725506067276	0.0009999999	NA	NA
151	0.05872482433915138	0.0009999999	NA	NA
152	0.058724142611026764	0.0009999999	NA	NA
153	0.05872347578406334	0.0009999999	NA	NA
154	0.05872279033064842	0.0009999999	NA	NA
155	0.058722127228975296	0.0009999999	NA	NA
156	0.058721378445625305	9.999999e-05	NA	NA
157	0.05872131884098053	9.999999e-05	NA	NA
158	0.05872124433517456	9.999999e-05	NA	NA
159	0.05872119590640068	9.999999e-05	NA	NA
160	0.0587211437523365	9.999999e-05	NA	NA
161	0.058721087872982025	9.999999e-05	NA	NA
162	0.05872102454304695	9.999999e-05	NA	NA
163	0.05872097238898277	9.999999e-05	NA	NA
164	0.058720897883176804	9.999999e-05	NA	NA
165	0.05872084200382233	9.999999e-05	NA	NA
166	0.05872078984975815	9.999999e-06	NA	NA
167	0.05872078239917755	9.999999e-06	NA	NA
168	0.058720774948596954	9.999999e-06	NA	NA
169	0.058720774948596954	9.999999e-06	NA	NA
170	0.058720771223306656	9.999999e-06	NA	NA
171	0.05872076377272606	9.999999e-06	NA	NA
172	0.058720771223306656	9.999999e-06	NA	NA
173	0.058720771223306656	9.999999e-06	NA	NA
174	0.058720771223306656	9.999999e-06	NA	NA
175	0.058720752596855164	9.999999e-06	NA	NA
176	0.05872076377272606	9.999999e-07	NA	NA
177	0.058720752596855164	9.999999e-07	NA	NA
178	0.05872076004743576	9.999999e-07	NA	NA
179	0.058720752596855164	9.999999e-07	NA	NA
180	0.05872074514627457	9.999999e-07	NA	NA
181	0.05872074514627457	9.999999e-07	NA	NA
182	0.05872076004743576	9.999999e-07	NA	NA
183	0.05872074514627457	9.999999e-07	NA	NA
184	0.058720752596855164	9.999999e-07	NA	NA
185	0.05872074514627457	9.999999e-07	NA	NA
186	0.05872074514627457	9.999999e-08	NA	NA
187	0.05872076004743576	9.999999e-08	NA	NA
188	0.05872074514627457	9.999999e-08	NA	NA
189	0.058720752596855164	9.999999e-08	NA	NA
190	0.05872074514627457	9.999999e-08	NA	NA
191	0.058720752596855164	9.999999e-08	NA	NA
192	0.058720752596855164	9.999999e-08	NA	NA
193	0.05872076004743576	9.999999e-08	NA	NA
194	0.05872076004743576	9.999999e-08	NA	NA
195	0.058720752596855164	9.999999e-08	NA	NA
